"Model.Year","Type","MPG","Weight","Horsepower","Acceleration","CO2"
1985,"Van",16.54583,3975.166,129.0611,15.3213,537.31517
1986,"Van",17.46989,3997.909,127.491,14.7281,508.95915
1987,"Van",17.65937,3972.056,141.7261,13.9292,503.29963
1988,"Van",17.87781,4052.761,146.9449,13.8585,497.17367
1989,"Van",17.79679,4057.266,146.0862,13.3943,499.40914
1990,"Van",17.84376,4094.99,148.8218,12.4758,498.09174
1991,"Van",17.91037,4132.591,148.5607,12.6888,496.2451
1992,"Van",17.92191,4151.208,151.953,12.2324,495.91014
1993,"Van",18.20216,4105.496,155.0834,11.2051,488.23886
1994,"Van",17.83757,4156.485,159.4923,11.0199,498.21818
1995,"Van",18.078,4109.512,158.8926,11.1799,491.59189
1996,"Van",18.33961,4195.45,170.5941,11.2864,484.57944
1997,"Van",18.1755,4240.09,174.0118,11.208,488.95485
1998,"Van",18.69673,4182.655,180.0408,11.1196,475.32365
1999,"Van",18.27843,4306.442,182.734,11.1321,486.20154
2000,"Van",18.60865,4275.636,182.8401,10.6108,477.57348
2001,"Van",18.04383,4518.412,201.678,10.0971,492.52304
2002,"Van",18.69997,4393.857,199.4496,10.131,475.24129
2003,"Van",18.98231,4393.361,201.5338,9.9551,468.17267
2004,"Van",19.16282,4486.746,213.6638,9.6513,463.76265
2005,"Van",19.30215,4429.968,208.8673,9.6906,460.41503
2006,"Van",19.52993,4475.457,211.1533,9.7382,455.04508
2007,"Van",19.49807,4479.337,225.3215,9.427,455.78861
2008,"Van",19.81953,4527.106,220.9599,9.6207,448.3961
2009,"Van",20.06585,4572.033,220.4829,9.4307,442.89188
2010,"Van",20.11859,4533.047,212.4705,9.676,441.73066
2011,"Van",20.94922,4502.072,258.7179,8.3973,424.21625
2012,"Van",21.26883,4441.761,254.1958,8.5039,417.84159
2013,"Van",21.05797,4542.733,257.0599,8.5479,422.02553
2014,"Van",21.26902,4488.559,260.3062,8.277,417.83774
2015,"Van",21.78246,4415.51,250.1297,8.4605,407.98875
2016,"Van",21.66192,4459.328,256.3589,8.2913,410.25907
2017,"Van",22.23448,4503.103,267.5649,7.887,399.38706
2018,"Van",22.75932,4523.587,268.5461,7.7129,388.97187
2019,"Van",22.42918,4497.203,266.7527,7.8122,395.85951
2020,"Van",23.35398,4487.058,258.2838,7.8465,379.31915
2021,"Van",27.26434,4591.068,226.6128,7.8394,322.27528
1978,"Truck",13.32817,4104.366,144.152,13.3834,667.61907
1979,"Truck",13.21499,4142.085,135.6823,14.9015,674.27896
1980,"Truck",16.51884,3739.957,118.0136,15.5542,540.59043
1981,"Truck",17.88228,3679.45,115.4839,15.5938,500.35941
1982,"Truck",18.48502,3628.863,116.5468,16.3908,486.37369
1983,"Truck",18.87651,3543.619,112.3953,15.1782,473.06528
1984,"Truck",18.25999,3618.901,114.0118,15.0923,488.08367
1985,"Truck",18.20137,3642.38,122.8821,14.1795,488.92435
1986,"Truck",18.8625,3574.005,120.347,13.5534,471.48289
1987,"Truck",19.03851,3526.44,123.3883,13.5302,466.95388
1988,"Truck",18.14217,3736.914,137.6928,13.1264,489.98944
1989,"Truck",17.80206,3803.156,142.83,12.3688,499.32816
1990,"Truck",17.41153,3928.038,151.5798,11.3368,510.53577
1991,"Truck",18.18688,3779.345,146.0197,11.4214,488.7572
1992,"Truck",17.48087,3976.449,150.6981,11.2471,508.47858
1993,"Truck",17.58531,3995.899,156.0455,10.3501,505.36495
1994,"Truck",17.44093,4056.457,163.3181,10.152,509.54846
1995,"Truck",16.89032,4182.348,167.1794,10.3353,526.1595
1996,"Truck",17.14796,4189.857,178.2257,10.5059,518.39705
1997,"Truck",16.83729,4414.615,195.5758,10.1709,527.86627
1998,"Truck",16.99566,4282.279,189.7748,10.5256,522.93624
1999,"Truck",16.28507,4486.464,204.7477,10.3127,545.71648
2000,"Truck",16.65304,4340.005,202.7504,9.8163,533.65646
2001,"Truck",15.9533,4551.472,215.7755,9.4472,557.06333
2002,"Truck",15.75266,4689.839,226.252,9.4478,564.15882
2003,"Truck",16.07718,4641.51,222.8414,9.4599,552.77106
2004,"Truck",15.73684,4938.797,248.7484,9.1017,564.72565
2005,"Truck",15.84874,4987.822,259.7066,8.8009,560.73845
2006,"Truck",16.13873,4967.739,255.5367,8.9412,550.66301
2007,"Truck",16.16854,5144.497,268.6433,8.9272,549.64751
2008,"Truck",16.47549,5161.204,276.3228,8.9017,539.40726
2009,"Truck",16.89988,5175.939,277.8993,8.5022,525.86159
2010,"Truck",16.85202,5308.759,288.9247,8.4158,527.35529
2011,"Truck",17.23687,5267.786,303.833,8.1543,515.58096
2012,"Truck",17.20749,5334.678,316.8917,7.9302,516.46123
2013,"Truck",17.47393,5428.998,328.0566,7.7965,508.58612
2014,"Truck",18.0377,5484.824,333.8904,7.6359,492.69032
2015,"Truck",18.80861,5164.656,324.168,7.5658,473.52257
2016,"Truck",18.92237,5150.408,324.2175,7.501,470.91563
2017,"Truck",18.91763,5217.041,332.8031,7.3637,470.48611
2018,"Truck",19.10974,5233.055,345.6733,7.0622,465.99329
2019,"Truck",19.02718,5084.835,342.6648,6.9382,467.41611
2020,"Truck",19.19349,5125.986,342.3512,6.8521,464.56201
2021,"Truck",19.32618,5200.655,337.2059,6.9901,462.5801
1978,"Sedan",16.94899,3587.514,124.1623,13.6978,524.8113
1979,"Sedan",17.24547,3484.872,119.4639,14.5135,516.51143
1980,"Sedan",20.0121,3101.464,100.4585,15.5474,446.31675
1981,"Sedan",21.41631,3075.865,98.7082,15.5567,417.98127
1982,"Sedan",22.21184,3054.073,98.7342,16.6289,402.41852
1983,"Sedan",22.09123,3111.96,103.8318,14.8298,403.30599
1984,"Sedan",22.4419,3098.504,105.76,14.5251,396.70005
1985,"Sedan",23.01593,3092.936,110.752,13.8858,386.52221
1986,"Sedan",23.72402,3040.673,110.8588,13.2412,374.71873
1987,"Sedan",23.80659,3030.906,112.4524,13.3411,373.4265
1988,"Sedan",24.14857,3046.537,115.9074,13.2717,368.01608
1989,"Sedan",23.70987,3099.266,120.9978,12.4652,374.83716
1990,"Sedan",23.33429,3175.9,128.5061,11.3542,380.87347
1991,"Sedan",23.42825,3153.67,132.2115,11.2824,379.38525
1992,"Sedan",23.06995,3239.88,140.5106,10.7402,385.24953
1993,"Sedan",23.45914,3207.167,138.2942,10.1248,378.82894
1994,"Sedan",23.273,3249.686,142.8141,9.9253,381.86337
1995,"Sedan",23.44355,3262.62,152.4623,9.7956,379.10881
1996,"Sedan",23.33458,3281.749,154.1331,10.1113,380.88755
1997,"Sedan",23.37244,3274.061,156.0286,10.0287,380.26313
1998,"Sedan",23.36801,3305.987,159.0853,10.1931,380.37277
1999,"Sedan",23.00469,3364.561,163.9751,10.0517,386.37387
2000,"Sedan",22.91435,3369.209,167.93,9.5095,387.91299
2001,"Sedan",23.04554,3379.627,168.4034,9.328,385.71846
2002,"Sedan",23.0846,3391.217,172.9148,9.3208,385.11456
2003,"Sedan",23.27673,3416.898,176.1243,9.1145,381.92366
2004,"Sedan",23.14043,3461.634,182.5044,8.9634,384.15892
2005,"Sedan",23.49079,3462.705,182.1716,8.9322,378.50244
2006,"Sedan",23.2994,3534.091,193.965,8.7246,381.67414
2007,"Sedan",24.10789,3507.31,189.401,8.8438,368.65941
2008,"Sedan",24.26732,3526.893,192.865,8.8335,366.24424
2009,"Sedan",25.33789,3464.462,183.8245,8.8638,351.01316
2010,"Sedan",26.16218,3474.093,186.6923,8.8157,340.06486
2011,"Sedan",25.8217,3559.086,198.5117,8.5097,344.45887
2012,"Sedan",27.59971,3451.78,188.7913,8.5831,322.10411
2013,"Sedan",28.35773,3465.189,193.9407,8.4263,313.18409
2014,"Sedan",28.38531,3496.549,197.0531,8.3639,312.95857
2015,"Sedan",29.00986,3488.66,196.2541,8.3238,305.73846
2016,"Sedan",29.2051,3468.065,197.0935,8.2606,303.3207
2017,"Sedan",30.18222,3470.57,193.5764,8.3129,292.68457
2018,"Sedan",30.76312,3534.827,205.8925,8.0268,285.55007
2019,"Sedan",30.8747,3511.966,204.1421,8.0626,284.92422
2020,"Sedan",31.73102,3509.661,205.5109,7.9452,276.70049
2021,"Sedan",32.24863,3562.35,214.4267,7.8093,270.19125
1978,"SUV",12.2864,4281.723,149.658,13.2041,723.31987
1979,"SUV",10.53097,4560.526,145.2456,14.7896,844.01701
1980,"SUV",13.18631,4236.831,130.7478,15.6591,675.57737
1981,"SUV",14.30158,4208.028,131.5149,15.3652,621.39972
1982,"SUV",14.69788,4494.407,132.9675,16.7648,615.95999
1983,"SUV",15.79468,4269.657,126.9095,15.4758,567.83767
1984,"SUV",16.19242,4048.509,121.6039,15.6413,550.59585
1985,"SUV",16.53857,4092.154,123.3431,15.4168,538.48011
1986,"SUV",17.03397,3957.881,127.7072,13.9675,522.709
1987,"SUV",17.27386,3881.943,137.2537,13.5067,514.79052
1988,"SUV",17.0231,3905.607,144.0111,13.302,522.29497
1989,"SUV",16.55267,4086.103,155.6757,12.3602,537.09712
1990,"SUV",16.43622,4098.31,155.1478,11.6701,540.92197
1991,"SUV",16.73325,4157.233,161.5263,11.5591,531.2422
1992,"SUV",16.20331,4203.692,169.592,11.043,548.46809
1993,"SUV",16.29119,4331.199,178.9183,10.1151,545.50973
1994,"SUV",16.00656,4331.104,180.459,10.0572,555.20998
1995,"SUV",15.99832,4323.131,177.4035,10.4003,555.49574
1996,"SUV",16.22709,4386.1,188.6074,10.5206,547.67933
1997,"SUV",16.13144,4463.251,190.4155,10.4697,550.92239
1998,"SUV",16.16263,4450.325,191.7499,10.7407,549.855
1999,"SUV",16.07409,4518.425,203.7447,10.3775,552.87737
2000,"SUV",16.00646,4601.991,206.1898,9.9684,555.2134
2001,"SUV",16.41337,4545.642,212.8739,9.5676,541.44899
2002,"SUV",16.30933,4636.362,228.6712,9.3682,544.90294
2003,"SUV",16.4241,4753.709,233.4263,9.2635,541.09524
2004,"SUV",16.47329,4755.849,240.1446,9.0851,539.49009
2005,"SUV",16.73488,4755.554,243.8898,8.9388,531.1998
2006,"SUV",17.16238,4715.404,239.5535,9.0027,517.97437
2007,"SUV",17.67824,4797.28,251.7269,8.9071,502.87029
2008,"SUV",18.18794,4727.397,249.9136,8.9358,488.89608
1988,"Truck",17.84776,3791.418,133.5523,13.2918,497.93369
1989,"Truck",17.16437,4022.897,140.7301,12.5139,517.75859
1990,"Truck",17.49419,3993.652,142.122,11.7299,507.99712
1991,"Truck",17.59174,3985.917,147.212,11.5737,505.18016
1992,"Truck",17.18071,4177.562,145.0468,11.7361,517.26616
1993,"Truck",17.62748,4108.893,154.1466,10.5325,504.1561
1994,"Truck",17.72991,4097.069,153.1392,10.5642,501.24327
1995,"Truck",16.80623,4321.994,161.7731,10.659,528.79187
1996,"Truck",17.64848,4064.648,147.1539,11.4674,503.55611
1997,"Truck",17.41221,4293.167,185.8111,10.3718,510.38888
1998,"Truck",17.0545,4277.013,184.419,10.6451,521.09421
1999,"Truck",16.62278,4279.76,187.0795,10.5923,534.62791
2000,"Truck",16.67673,4309.321,190.009,10.0971,532.89817
2001,"Truck",16.04787,4561.243,218.6324,9.3248,553.78078
2002,"Truck",16.20857,4518.823,216.6263,9.4641,548.29032
2003,"Truck",16.14353,4591.822,216.8623,9.4456,550.49916
2004,"Truck",15.61003,5139.911,245.0178,9.3773,569.31359
2005,"Truck",15.38339,5287.547,250.2583,9.3444,577.70111
2006,"Truck",15.27859,5369.391,256.011,9.3864,581.66357
2007,"Truck",15.64811,5259.088,249.5498,9.5001,567.92791
2008,"Truck",15.99255,5174.524,244.2998,9.6408,555.6964
2009,"Truck",16.84331,5278.43,267.1685,8.6967,527.6279
2010,"Truck",16.6484,5485.704,279.996,8.6378,533.80507
2011,"Truck",17.4725,5372.688,312.5397,8.0532,508.62786
2012,"Truck",17.33692,5806.942,350.5347,7.563,512.6054
2013,"Truck",17.55108,5796.062,364.0788,7.3931,506.35062
2014,"Truck",17.49864,5786.603,361.6622,7.4414,507.86812
2015,"Truck",18.99688,4947.472,353.2218,6.8837,467.81373
2016,"Truck",19.06322,4938.818,348.9258,6.9379,466.18557
2017,"Truck",19.45647,4974.501,355.6521,6.6769,456.76319
2018,"Truck",19.78632,5019.183,379.2803,6.0312,449.98236
2019,"Truck",20.22345,4934.152,361.8281,6.1522,439.88349
2020,"Truck",19.80411,5044.621,365.0193,6.1565,448.87455
2021,"Truck",20.92298,5106.379,352.5546,6.1918,424.98926
1978,"Sedan",15.82507,3884.874,130.0941,13.8785,561.57712
1979,"Sedan",16.34955,3620.699,119.2546,14.531,543.5622
1980,"Sedan",19.14727,3186.485,105.2723,15.0135,464.13925
1981,"Sedan",19.91488,3064.592,100.8547,15.1151,446.24925
1982,"Sedan",20.90542,3054.248,96.4577,16.8706,425.10507
1983,"Sedan",20.36662,3212.402,106.4655,14.7455,436.35134
1984,"Sedan",21.57953,3189.431,105.6298,14.6153,412.41157
1985,"Sedan",22.13667,3200.603,118.6718,13.4627,401.64565
1986,"Sedan",22.70129,3213.291,118.0022,12.8655,391.61652
1987,"Sedan",22.55928,3231.829,114.7558,13.3449,394.00263
1988,"Sedan",22.85407,3248.501,125.3877,12.8852,388.85849
1989,"Sedan",22.77558,3288.747,119.8419,12.7351,390.1987
1990,"Sedan",22.15135,3401.491,125.7492,11.7848,401.19473
1991,"Sedan",22.87536,3280.01,131.8364,11.5394,388.4966
1992,"Sedan",22.3851,3429.011,145.4215,10.8697,397.00522
1993,"Sedan",23.22283,3295.962,134.675,10.5032,382.68369
1994,"Sedan",22.63123,3405.056,142.3863,10.1874,392.68737
1995,"Sedan",22.99291,3366.863,146.4957,10.2443,386.51042
1996,"Sedan",21.7827,3494.916,156.8767,10.3322,407.98438
1997,"Sedan",22.23177,3425.289,153.8721,10.3298,399.74316
1998,"Sedan",22.57513,3350.481,152.4533,10.4515,393.66332
1999,"Sedan",22.32741,3416.017,163.2665,10.064,398.03086
2000,"Sedan",22.14869,3446.035,173.4955,9.4664,401.24264
2001,"Sedan",21.81937,3465.014,166.9637,9.4439,407.29873
2002,"Sedan",21.93167,3460.85,169.2683,9.4783,405.21307
2003,"Sedan",21.51818,3607.791,182.4237,9.1696,412.99954
2004,"Sedan",20.75075,3713.784,192.2474,8.8719,428.27377
2005,"Sedan",21.74315,3638.919,184.6111,8.9388,408.72638
2006,"Sedan",21.54785,3675.684,194.6832,8.6931,412.431
2007,"Sedan",22.19759,3582.654,188.4128,8.8927,400.35879
2008,"Sedan",22.49849,3666.873,206.9767,8.5112,395.00422
2009,"Sedan",23.41516,3557.351,193.7145,8.6291,379.54041
2010,"Sedan",24.69814,3596.055,198.101,8.4749,359.82468
2011,"Sedan",25.27838,3602.109,207.1983,8.3583,351.56531
2012,"Sedan",27.50035,3380.728,194.6808,8.223,323.09415
2013,"Sedan",28.3599,3536.752,202.0614,8.0706,313.19305
2014,"Sedan",28.06012,3474.653,200.4246,8.0971,316.51117
2015,"Sedan",27.65721,3597.71,213.3003,7.9734,321.13369
2016,"Sedan",28.01381,3558.904,204.503,8.0876,316.02651
2017,"Sedan",27.70497,3717.297,213.1293,8.0251,319.28541
2018,"Sedan",28.38424,3663.036,206.5437,8.1308,312.53746
2019,"Sedan",28.08554,3687.225,220.9885,7.8867,315.33004
2020,"Sedan",25.83042,3835.549,260.4481,7.2313,343.28719
2021,"Sedan",29.94343,4336.613,369.4195,4.6413,258.51685
1978,"SUV",11.23276,5000,164.9601,13.927,791.16824
1979,"SUV",9.32572,5000,177,13.6594,952.95559
1980,"SUV",11.84776,4738.081,142.005,15.7473,750.09947
1981,"SUV",12.8428,4686.098,136.7568,15.8575,691.98321
1982,"SUV",12.52853,4676.692,137.6098,16.8811,709.34094
1983,"SUV",12.97625,4673.315,136.9439,15.5719,684.86641
1984,"SUV",15.59458,3988.598,118.8089,16.0822,569.87738
1985,"SUV",15.99505,3977.593,126.5018,14.934,555.61185
1986,"SUV",16.84002,3975.488,145.6565,12.6884,527.7309
1987,"SUV",16.95075,3972.164,145.0166,12.8352,524.28368
1988,"SUV",16.55009,4004.306,148.9419,12.8599,536.97605
1989,"SUV",15.66953,4494.458,153.2214,13.0484,567.15176
1990,"SUV",15.19392,4584.336,160.1225,12.0199,584.90502
1991,"SUV",16.5834,4491.088,172.1609,11.4688,535.8973
1992,"SUV",16.37663,4501.691,170.6913,11.3292,542.66344
1993,"SUV",16.42573,4514.229,173.3766,10.5294,541.04127
1994,"SUV",16.41953,4511.45,173.0322,10.5095,541.24578
1995,"SUV",16.21199,4557.454,171.446,10.8423,548.17458
1996,"SUV",16.23994,4538.894,167.3941,11.4623,547.23108
1997,"SUV",15.42089,4762.139,190.7168,10.6853,576.29614
1998,"SUV",15.03314,4947.201,198.65,10.9602,591.16072
1999,"SUV",14.92764,5040.978,218.4447,10.3549,595.33872
2000,"SUV",15.14305,5009.859,220.6537,9.8102,586.86975
2001,"SUV",17.02483,4429.136,210.2609,9.3126,522.0024
2002,"SUV",15.9322,4552.089,219.625,9.2399,557.80119
2003,"SUV",15.48812,4958.373,231.8413,9.3069,573.79468
2004,"SUV",15.56551,4915.873,229.8399,9.3261,570.94189
2005,"SUV",16.2322,4760.4,232.529,9.211,547.49205
2006,"SUV",16.27771,4947.223,236.4896,9.2816,545.96135
2007,"SUV",17.02911,4736.041,236.3425,9.0516,521.87121
2008,"SUV",18.00247,4582.486,224.9824,9.3371,493.65448
2009,"SUV",19.26984,4468.407,238.2053,8.4917,461.1871
2010,"SUV",18.51304,4716.972,244.2374,8.7013,480.04003
2011,"SUV",19.58859,4725.046,268.657,8.1351,453.68246
2012,"SUV",19.75273,4658.53,264.1008,8.1471,449.91238
2013,"SUV",20.78488,4677.863,272.352,8.0129,427.57034
2014,"SUV",20.84919,4685.786,269.803,8.0757,426.25161
2015,"SUV",20.86508,4735.173,281.6925,7.8774,425.92703
2016,"SUV",20.74122,4730.018,282.2668,7.8701,428.47047
2017,"SUV",20.7964,4728.932,279.6629,7.9078,427.33361
2018,"SUV",21.38678,4634.528,270.7666,8.0341,415.53713
2019,"SUV",21.58911,4746.46,274.4183,7.8609,411.64276
2020,"SUV",23.54336,4616.951,280.4727,7.1646,377.29949
2021,"SUV",23.15906,4551.433,271.174,7.2265,383.48811
2002,"Van",16.23729,5000,193,10.7733,547.32029
2003,"Van",16.18822,5000,193,10.6798,548.97934
2004,"Van",17.25561,5000,195,10.6295,515.02089
2005,"Van",17.30949,5000,195,10.564,513.41774
2006,"Van",19.16081,4500,244,8.6758,463.81128
2007,"Van",19.16081,4500,244,8.7507,463.81128
2008,"Van",19.16081,4500,244,8.8051,463.81128
2009,"Van",19.16081,4500,250,8.4784,463.81127
2010,"Van",19.84192,4500,250,8.5694,447.89004
2011,"Van",21.27521,4500,271,7.9616,417.71614
2012,"Van",21.27521,4500,271,7.9616,417.71614
2014,"Van",20.24938,4500,269,7.9979,438.87768
2015,"Van",20.8364,4557.714,276,7.9611,426.5132
2016,"Van",20.8993,4529.465,276,7.9339,425.22951
2017,"Van",20.99182,4512.244,276,7.9174,423.35546
2018,"Van",20.87212,4565.842,276,7.9689,425.78323
2019,"Van",21.1284,4757.516,276,7.6837,420.61865
2020,"Van",21.13532,4755.703,276,7.6821,420.48097
2021,"Van",21.1445,4737.321,276,7.6654,420.29838
1993,"Sedan",26.13454,2750,82,13.2787,340.048
1994,"Sedan",26.9255,2750,88,12.0647,330.05882
1995,"Sedan",25.43451,2750,98.9203,11.6378,349.40712
1996,"Sedan",23.65191,2750,121.2345,10.4748,375.74135
1997,"Sedan",25.09654,2750,120.8954,10.4222,354.11249
1998,"Sedan",24.99207,2750,125,10.5987,355.59276
1999,"Sedan",24.91347,2750,125,10.5411,356.71471
2000,"Sedan",24.15929,2750,125,10.0721,367.85027
2001,"Sedan",24.30399,2777.013,117.6811,10.5068,365.66012
2002,"Sedan",23.52441,2996.641,119.4941,11.1136,377.77778
2003,"Sedan",24.04599,3004.614,123.2827,10.7065,369.58341
2004,"Sedan",23.13628,3257.404,139.8928,10.2986,384.11534
2005,"Sedan",23.3251,3239.244,142.3395,10.0803,381.00584
2006,"Sedan",25.69663,3134.751,139.7392,10.0732,345.84301
2007,"Sedan",26.02557,3214.751,145.8223,10.0516,341.47185
2008,"Sedan",26.23691,3223.861,145.5368,10.1068,338.72126
2009,"Sedan",27.28234,3114.313,142.1909,9.9558,325.74189
2010,"Sedan",28.11038,3039.515,150.5327,9.4703,316.14661
2011,"Sedan",28.12554,3123.862,161.6113,9.1002,315.97611
2012,"Sedan",28.35231,3165.95,174.0209,8.4348,313.44884
2013,"Sedan",28.49828,3191.066,175.3382,8.4422,311.8434
2014,"Sedan",27.58105,3196.983,171.9297,8.5795,322.21394
2015,"Sedan",27.63014,3264.349,175.5133,8.5276,321.4821
2016,"Sedan",28.90753,3154.485,162.1776,8.7819,306.90812
2017,"Sedan",31.70933,3186.199,155.4369,8.8185,279.57819
2018,"Sedan",30.60687,3266.92,165.6438,8.6949,289.76888
2019,"Sedan",31.91637,3259.794,162.2625,8.7319,276.85203
2020,"Sedan",32.81806,3165.082,157.9948,8.767,269.26247
2021,"Sedan",33.37512,3170.214,158.8203,8.6067,265.85022
1989,"Van",18.96781,3998.451,142.2852,13.4874,468.53064
1990,"Van",16.97351,3999.801,146.5241,12.5889,523.5805
1991,"Van",16.98451,3998.939,146.1468,12.7474,523.2413
1992,"Van",17.79179,4081.306,152.8124,12.1029,499.5001
1993,"Van",17.86285,4050.358,155,11.1461,497.5129
1994,"Van",17.74016,4067.078,150.595,11.5037,500.9539
1995,"Van",17.32797,4089.016,152,11.7442,512.8701
1996,"Van",17.18332,4133.196,152,12.1742,517.1875
